student_id,activity_type,duration,age,gender,location,performance_score,interest_level
49,Homework,277,13,M,Friend's House,22,Low
50,Homework,110,16,F,Home,86,High
51,Cooking,75,15,F,Gym,33,Low
52,Exercise,175,12,M,Library,68,Medium
53,Reading,152,14,M,Home,60,Medium
54,Exercise,37,14,M,Library,61,Medium
55,Homework,56,14,F,Library,84,High
56,Social Media,72,12,F,Friend's House,76,Medium
57,Reading,149,17,F,Home,57,Medium
58,Homework,173,14,M,Gym,89,High
59,Exercise,56,17,M,Friend's House,52,Medium
60,Social Media,119,17,M,Home,55,Medium
61,Music,91,13,M,Friend's House,84,High
62,Social Media,104,15,M,Friend's House,76,Medium
63,Video Games,95,14,M,Community Center,43,Low
64,Video Games,175,14,F,Park,59,Medium
65,Social Media,128,14,F,Home,81,High
66,Video Games,33,14,F,Home,80,High
67,Social Media,115,17,M,Library,70,Medium
68,Video Games,209,14,F,Park,8,Medium
69,Music,127,12,F,Park,94,High
70,Homework,34,14,F,Gym,46,Low
71,Exercise,68,16,F,Home,92,High
72,Reading,174,14,M,Friend's House,83,High
73,Music,95,14,M,Community Center,50,Medium
74,Social Media,112,14,F,Gym,68,Medium
75,Reading,71,15,F,Friend's House,51,Medium
76,Sports,71,13,F,Park,82,High
77,Exercise,142,14,F,Gym,93,High
78,Cooking,151,16,M,Library,68,Medium
79,Social Media,103,16,F,Home,69,Medium
80,Social Media,121,12,M,Home,68,Medium
81,Cooking,86,17,M,Friend's House,85,High
82,Video Games,109,17,F,Friend's House,99,High
83,Cooking,42,13,M,Park,54,Medium
84,Social Media,39,17,F,Community Center,36,Low
85,Homework,170,17,M,Friend's House,69,Medium
86,TV,30,17,M,Home,85,High
87,TV,84,17,M,Home,74,Medium
88,Video Games,165,15,M,Park,41,Low
89,Reading,152,13,M,Library,52,Medium
90,Music,103,13,M,Friend's House,80,High
91,TV,128,15,M,Community Center,48,Low
92,Video Games,95,17,M,Home,58,Medium
93,Video Games,158,15,M,Friend's House,41,Low
94,Exercise,40,14,M,Home,83,High
95,Video Games,137,17,M,Library,100,High
96,Exercise,85,15,F,Home,41,Low
97,Social Media,174,17,M,Park,78,Medium
98,Music,100,14,M,Home,73,Medium
99,Homework,78,12,F,Community Center,92,High
100,TV,287,16,M,Friend's House,26,Medium
101,TV,62,15,M,Home,64,Medium
102,Video Games,177,15,M,Friend's House,75,Medium
103,Exercise,78,17,M,Home,48,Low
104,Video Games,114,15,F,Home,90,High
105,Homework,135,13,F,Friend's House,90,High
106,Reading,62,13,M,Home,33,Low
107,Homework,95,17,M,Library,68,Medium
108,Sports,36,15,F,Library,96,High
109,Social Media,178,17,M,Library,84,High
110,Exercise,98,15,F,Friend's House,36,Low
111,Exercise,61,13,M,Friend's House,50,Medium
112,Exercise,170,16,M,Home,53,Medium
113,Sports,159,12,M,Home,34,Low
114,Homework,107,16,M,Library,76,Medium
115,Video Games,161,12,M,Library,69,Medium
116,Sports,135,13,M,Library,68,Medium
117,Exercise,113,12,F,Library,66,Medium
118,Social Media,43,14,F,Library,73,Medium
119,TV,55,12,M,Home,85,High
120,Music,94,14,M,Home,53,Medium
121,Music,129,12,M,Community Center,79,Medium
122,Social Media,131,15,M,Community Center,63,Medium
123,Music,56,13,M,Home,98,High
124,Music,31,12,M,Home,95,High
125,Social Media,102,17,M,Library,66,Medium
126,Exercise,271,17,M,Home,9,Low
127,TV,136,14,F,Home,40,Low
128,Exercise,171,16,M,Park,70,Medium
129,TV,180,14,M,Park,99,High
130,Social Media,160,14,F,Home,72,Medium
131,Sports,102,16,M,Home,44,Low
132,Cooking,90,12,F,Friend's House,98,High
133,Social Media,34,16,M,Home,80,High
134,TV,58,14,F,Friend's House,70,Medium
135,Video Games,109,14,F,Community Center,98,High
136,Exercise,168,13,F,Home,95,High
137,TV,134,13,M,Park,89,High
138,Social Media,106,12,M,Library,39,Low
139,Exercise,179,17,M,Home,86,High
140,Sports,167,14,M,Park,90,High
141,Social Media,55,17,F,Community Center,69,Medium
142,Social Media,49,16,M,Park,75,Medium
143,Social Media,99,17,F,Home,36,Low
144,TV,73,13,F,Gym,75,Medium
145,Video Games,113,12,F,Home,60,Medium
146,Social Media,43,12,M,Library,78,Medium
147,Exercise,172,14,M,Home,72,Medium
148,Exercise,49,17,M,Community Center,92,High
149,Social Media,140,17,F,Gym,65,Medium
150,Video Games,179,14,M,Home,54,Medium
151,Music,42,13,M,Community Center,50,Medium
152,Video Games,135,12,F,Home,58,Medium
153,Exercise,43,14,M,Library,85,High
154,Video Games,133,15,F,Home,67,Medium
155,TV,59,15,F,Home,47,Low
156,Video Games,157,17,M,Home,64,Medium
157,TV,83,13,F,Home,83,High
158,Exercise,42,17,M,Home,56,Medium
159,Video Games,160,17,M,Home,67,Medium
160,Reading,135,13,F,Gym,95,High
161,Music,129,17,M,Library,94,High
162,Music,81,13,M,Gym,99,High
163,Video Games,53,14,M,Community Center,51,Medium
164,Cooking,31,14,F,Home,66,Medium
165,TV,170,13,F,Gym,78,Medium
166,Social Media,131,16,M,Community Center,78,Medium
167,Video Games,105,16,M,Home,89,High
168,Homework,43,15,F,Library,87,High
169,Cooking,72,15,M,Community Center,49,Low
170,TV,30,13,F,Community Center,70,Medium
171,Music,63,16,M,Home,42,Low
172,Homework,95,17,M,Park,45,Low
173,Video Games,138,13,M,Home,52,Medium
174,Video Games,83,17,M,Friend's House,58,Medium
175,Social Media,213,17,F,Home,29,Medium
176,Cooking,179,14,M,Park,77,Medium
177,Video Games,78,12,M,Library,83,High
178,Homework,164,13,M,Library,50,Medium
179,Homework,34,13,M,Community Center,100,High
180,Reading,99,14,M,Home,37,Low
181,Music,160,17,F,Home,83,High
182,Social Media,51,14,M,Home,45,Low
183,Music,173,16,F,Library,89,High
184,Homework,72,12,M,Home,99,High
185,Video Games,80,13,F,Home,82,High
186,Exercise,82,13,F,Gym,77,Medium
187,Cooking,58,15,M,Gym,87,High
188,Exercise,41,17,M,Library,84,High
189,Reading,38,13,M,Library,49,Low
190,Sports,208,17,F,Home,18,Medium
191,Video Games,72,12,F,Gym,67,Medium
192,Social Media,142,15,M,Gym,65,Medium
193,TV,142,15,M,Home,63,Medium
194,Social Media,136,14,M,Library,69,Medium
195,Cooking,59,17,F,Home,53,Medium
196,TV,142,17,M,Friend's House,38,Low
197,Social Media,135,15,M,Community Center,94,High
198,Exercise,131,14,M,Home,73,Medium
199,Video Games,162,17,M,Home,58,Medium
200,Video Games,179,15,F,Park,60,Medium
201,Exercise,271,17,M,Home,8,High
202,Social Media,147,12,F,Gym,99,High
203,Video Games,95,17,F,Community Center,75,Medium
204,Exercise,226,15,M,Library,17,High
205,Exercise,79,16,M,Home,53,Medium
206,Social Media,45,14,M,Library,52,Medium
207,Video Games,62,17,M,Home,44,Low
208,Music,46,16,F,Gym,67,Medium
209,Social Media,202,16,M,Community Center,11,High
210,Reading,180,13,F,Library,42,Low
211,TV,51,14,M,Home,86,High
212,TV,97,12,F,Gym,84,High
213,Sports,70,17,M,Park,38,Low
214,TV,153,16,F,Home,76,Medium
215,Music,64,14,F,Friend's House,64,Medium
216,Video Games,107,16,M,Library,38,Low
217,Video Games,80,15,F,Home,30,Low
218,Exercise,54,12,M,Friend's House,60,Medium
219,Social Media,62,15,F,Home,54,Medium
220,Reading,146,15,M,Gym,72,Medium
221,Exercise,147,15,F,Library,79,Medium
222,Social Media,116,17,F,Community Center,99,High
223,Social Media,88,14,M,Park,64,Medium
224,Video Games,67,17,M,Library,78,Medium
225,TV,126,15,F,Friend's House,68,Medium
226,Homework,33,12,M,Gym,99,High
227,Homework,171,13,M,Friend's House,90,High
228,TV,178,14,F,Park,32,Low
229,Video Games,147,13,F,Home,65,Medium
230,Video Games,49,16,F,Home,55,Medium
231,Homework,138,16,M,Home,94,High
232,Sports,177,14,F,Community Center,97,High
233,Social Media,230,16,M,Friend's House,16,High
234,Social Media,91,14,M,Community Center,36,Low
235,Homework,118,12,M,Friend's House,73,Medium
236,Social Media,104,17,F,Library,60,Medium
237,Music,126,17,M,Home,99,High
238,Video Games,65,16,M,Home,41,Low
239,Cooking,51,16,M,Home,68,Medium
240,TV,171,14,F,Gym,55,Medium
241,Homework,99,14,F,Community Center,88,High
242,Social Media,157,15,M,Gym,32,Low
243,Social Media,48,17,M,Home,51,Medium
244,TV,68,16,M,Friend's House,69,Medium
245,Music,129,12,M,Gym,70,Medium
246,Video Games,32,16,M,Community Center,84,High
247,Homework,61,14,F,Home,84,High
248,Social Media,65,12,M,Home,49,Low
249,Social Media,73,15,M,Community Center,67,Medium
250,Music,113,15,F,Home,32,Low
251,Cooking,56,13,M,Library,99,High
252,Social Media,45,13,M,Friend's House,88,High
253,TV,98,15,F,Home,77,Medium
254,Music,139,15,F,Library,34,Low
255,Video Games,165,15,M,Community Center,94,High
256,Homework,109,12,F,Home,43,Low
257,Social Media,94,16,F,Friend's House,35,Low
258,TV,137,16,F,Library,58,Medium
259,Social Media,167,17,M,Friend's House,51,Medium
260,Sports,290,17,F,Library,8,Medium
261,Homework,163,12,F,Home,96,High
262,Reading,77,16,M,Friend's House,34,Low
263,Music,132,13,M,Community Center,63,Medium
264,TV,71,14,F,Library,38,Low
265,TV,175,16,F,Home,77,Medium
266,TV,128,12,F,Library,82,High
267,Sports,62,16,M,Friend's House,74,Medium
268,Music,279,16,M,Community Center,8,High
269,Music,137,14,M,Home,55,Medium
270,Homework,135,13,F,Park,79,Medium
271,Reading,44,12,F,Friend's House,46,Low
272,Reading,72,13,F,Home,71,Medium
273,Video Games,42,17,F,Library,77,Medium
274,Sports,175,17,M,Park,100,High
275,Music,105,13,M,Home,71,Medium
276,Social Media,85,14,M,Home,64,Medium
277,Social Media,239,12,M,Library,13,Medium
278,Video Games,52,17,M,Home,31,Low
279,Social Media,98,13,M,Home,71,Medium
280,Homework,106,15,M,Park,56,Medium
281,Exercise,149,15,F,Park,55,Medium
282,Video Games,124,15,M,Community Center,70,Medium
283,Reading,173,12,F,Park,74,Medium
284,Social Media,35,12,M,Library,74,Medium
285,Video Games,79,12,F,Gym,70,Medium
286,Exercise,129,15,F,Park,41,Low
287,Cooking,87,17,F,Friend's House,77,Medium
288,Social Media,157,12,F,Friend's House,35,Low
289,Exercise,146,14,M,Friend's House,45,Low
290,Homework,94,16,F,Community Center,53,Medium
291,Homework,149,13,F,Community Center,32,Low
292,Homework,77,14,F,Friend's House,36,Low
293,Homework,163,13,M,Home,65,Medium
294,Homework,126,12,F,Library,57,Medium
295,Homework,129,16,F,Community Center,83,High
296,Reading,91,16,F,Community Center,88,High
297,Video Games,162,13,F,Home,85,High
298,TV,70,16,F,Home,31,Low
299,Social Media,79,17,F,Home,76,Medium
300,TV,57,15,F,Library,69,Medium
301,Sports,35,16,M,Community Center,52,Medium
302,Social Media,45,15,F,Library,97,High
303,Exercise,48,12,M,Gym,90,High
304,Exercise,129,13,F,Friend's House,81,High
305,Exercise,162,15,M,Home,72,Medium
306,TV,87,16,M,Gym,95,High
307,Exercise,59,13,F,Park,90,High
308,Music,244,12,F,Library,1,Medium
309,Social Media,75,13,M,Library,93,High
310,Music,143,17,M,Library,62,Medium
311,Music,128,15,M,Park,71,Medium
312,Video Games,172,12,M,Home,74,Medium
313,Homework,90,14,M,Library,61,Medium
314,Social Media,148,15,M,Community Center,33,Low
315,Social Media,58,16,M,Home,91,High
316,Homework,140,14,F,Library,45,Low
317,Video Games,96,15,F,Library,38,Low
318,Video Games,200,15,F,Community Center,2,High
319,Video Games,153,16,M,Home,48,Low
320,Video Games,71,12,F,Friend's House,41,Low
321,Music,144,14,F,Home,77,Medium
322,Sports,175,15,M,Gym,84,High
323,Social Media,180,12,F,Friend's House,95,High
324,Reading,36,15,F,Friend's House,51,Medium
325,Exercise,89,13,F,Library,80,High
326,Exercise,155,12,F,Library,86,High
327,Social Media,143,17,M,Friend's House,64,Medium
328,Reading,142,12,M,Library,85,High
329,Reading,165,13,F,Home,53,Medium
330,Music,216,14,M,Home,18,High
331,Social Media,172,14,F,Home,93,High
332,Homework,167,14,M,Community Center,64,Medium
333,Video Games,39,17,F,Community Center,68,Medium
334,Cooking,80,17,M,Park,33,Low
335,Social Media,102,17,M,Home,92,High
336,Cooking,79,14,F,Gym,87,High
337,Video Games,157,13,F,Home,90,High
338,Exercise,256,17,M,Home,29,Low
339,Homework,67,12,F,Friend's House,60,Medium
340,Homework,95,12,F,Home,91,High
341,Video Games,65,17,M,Friend's House,95,High
342,Reading,171,17,M,Gym,46,Low
343,Video Games,229,12,F,Community Center,21,Low
344,Exercise,154,17,M,Park,74,Medium
345,TV,201,16,M,Community Center,23,Medium
346,TV,85,13,F,Home,40,Low
347,Video Games,88,15,M,Friend's House,66,Medium
348,Music,110,15,F,Library,56,Medium
349,Homework,105,17,F,Library,93,High
350,Social Media,172,13,M,Park,35,Low
351,Music,43,16,M,Library,79,Medium
352,Reading,32,16,F,Home,60,Medium
353,Exercise,125,17,M,Friend's House,47,Low
354,Exercise,77,16,F,Library,62,Medium
355,Exercise,32,17,M,Library,72,Medium
356,Social Media,80,12,M,Community Center,58,Medium
357,Exercise,149,15,M,Library,30,Low
358,Sports,249,14,F,Home,4,Medium
359,Exercise,90,14,F,Home,58,Medium
360,Reading,64,17,F,Gym,95,High
361,Social Media,104,15,F,Home,53,Medium
362,TV,126,16,M,Community Center,98,High
363,Cooking,54,16,F,Gym,76,Medium
364,Sports,69,12,M,Community Center,99,High
365,Cooking,60,15,F,Friend's House,67,Medium
366,Reading,120,17,M,Home,59,Medium
367,Music,112,14,F,Home,78,Medium
368,Homework,126,16,F,Home,50,Medium
369,TV,72,12,M,Library,83,High
370,Video Games,119,12,M,Friend's House,79,Medium
371,Video Games,80,15,M,Home,30,Low
372,Homework,135,13,F,Community Center,78,Medium
373,Social Media,179,13,M,Library,86,High
374,Reading,40,16,F,Friend's House,73,Medium
375,Reading,141,12,M,Library,76,Medium
376,Social Media,54,16,F,Home,67,Medium
377,Video Games,159,12,F,Home,53,Medium
378,TV,51,16,M,Home,87,High
379,Video Games,35,16,F,Home,53,Medium
380,Music,36,16,F,Home,73,Medium
381,Homework,90,13,M,Gym,79,Medium
382,Exercise,155,17,M,Park,75,Medium
383,Music,174,17,F,Gym,95,High
384,Homework,114,14,F,Library,62,Medium
385,Exercise,46,15,F,Library,85,High
386,Social Media,75,14,F,Community Center,97,High
387,Cooking,31,16,M,Home,99,High
388,Reading,46,17,F,Community Center,81,High
389,TV,45,13,M,Park,78,Medium
390,Video Games,146,15,M,Friend's House,92,High
391,Social Media,86,15,M,Library,71,Medium
392,Homework,133,12,F,Community Center,55,Medium
393,Video Games,153,14,M,Community Center,38,Low
394,TV,113,15,M,Friend's House,69,Medium
395,Video Games,62,15,M,Friend's House,95,High
396,Reading,154,16,M,Gym,82,High
397,Social Media,164,16,F,Library,73,Medium
398,Video Games,180,17,M,Friend's House,58,Medium
399,Exercise,43,13,F,Park,91,High
400,Reading,102,17,M,Park,91,High
401,Reading,95,13,M,Library,62,Medium
402,Music,143,16,M,Library,48,Low
403,Homework,46,14,F,Home,96,High
404,Homework,39,14,F,Community Center,54,Medium
405,TV,90,17,M,Friend's House,33,Low
406,Social Media,178,12,M,Home,100,High
407,Music,140,14,M,Community Center,88,High
408,TV,91,16,F,Gym,33,Low
409,Homework,48,14,F,Friend's House,91,High
410,Social Media,124,12,M,Library,35,Low
411,Music,93,15,F,Friend's House,70,Medium
412,Social Media,81,17,F,Community Center,86,High
413,Reading,175,15,F,Community Center,77,Medium
414,Cooking,84,14,F,Home,43,Low
415,Social Media,67,15,F,Community Center,64,Medium
416,Social Media,35,13,M,Home,97,High
417,Music,132,12,F,Park,78,Medium
418,Reading,38,17,F,Library,67,Medium
419,Homework,71,14,F,Home,42,Low
420,Music,66,16,M,Community Center,45,Low
421,Exercise,172,16,M,Library,76,Medium
422,Exercise,154,17,F,Friend's House,35,Low
423,Social Media,79,13,F,Friend's House,55,Medium
424,Social Media,147,12,F,Library,52,Medium
425,Video Games,91,12,F,Library,91,High
426,Social Media,47,12,F,Home,85,High
427,Reading,95,16,M,Park,56,Medium
428,Social Media,41,12,F,Home,50,Medium
429,Exercise,160,13,F,Friend's House,95,High
430,Video Games,57,15,F,Community Center,41,Low
431,Social Media,164,17,F,Gym,61,Medium
432,TV,102,14,F,Friend's House,55,Medium
433,Homework,170,13,M,Friend's House,88,High
434,Social Media,95,15,F,Park,83,High
435,TV,103,13,F,Friend's House,76,Medium
436,Sports,139,14,F,Park,44,Low
437,Sports,76,14,F,Home,32,Low
438,Social Media,121,14,F,Home,75,Medium
439,Music,44,14,M,Community Center,81,High
440,Music,149,14,M,Library,96,High
441,TV,128,12,M,Home,84,High
442,Reading,133,13,F,Library,92,High
443,Social Media,110,13,F,Community Center,73,Medium
444,Social Media,83,15,F,Friend's House,56,Medium
445,Exercise,94,15,F,Gym,82,High
446,Social Media,178,15,F,Home,30,Low
447,Music,93,12,M,Community Center,96,High
448,Video Games,108,14,M,Library,79,Medium
449,Music,83,13,M,Home,76,Medium
450,Music,32,16,M,Gym,41,Low
451,Homework,263,12,F,Community Center,26,Medium
452,Exercise,160,17,F,Friend's House,55,Medium
453,Video Games,178,16,F,Gym,56,Medium
454,Video Games,95,15,F,Home,35,Low
455,Cooking,141,14,F,Friend's House,39,Low
456,Social Media,48,15,M,Gym,54,Medium
457,Video Games,60,16,F,Home,85,High
458,Video Games,127,13,M,Friend's House,56,Medium
459,Video Games,143,12,F,Community Center,58,Medium
460,Video Games,151,17,F,Park,63,Medium
461,Video Games,121,16,F,Gym,64,Medium
462,Video Games,74,12,M,Home,90,High
463,Video Games,144,14,M,Library,94,High
464,Sports,140,14,M,Community Center,72,Medium
465,Video Games,161,15,M,Community Center,92,High
466,Exercise,128,16,F,Gym,98,High
467,Cooking,128,16,M,Home,87,High
468,Exercise,255,16,F,Gym,6,Medium
469,Reading,54,15,F,Library,62,Medium
470,Exercise,37,17,M,Gym,63,Medium
471,Exercise,144,16,F,Home,67,Medium
472,Video Games,159,13,F,Friend's House,39,Low
473,Exercise,68,12,F,Library,46,Low
474,Music,147,12,M,Library,91,High
475,Exercise,116,16,M,Home,97,High
476,Social Media,79,16,M,Friend's House,36,Low
477,Social Media,161,13,F,Gym,32,Low
478,Reading,87,16,M,Gym,84,High
479,Exercise,43,12,F,Home,70,Medium
480,Social Media,107,14,M,Friend's House,82,High
481,Video Games,83,17,F,Park,52,Medium
482,Homework,97,17,F,Home,50,Medium
483,Music,70,13,F,Friend's House,35,Low
484,Music,180,17,M,Friend's House,76,Medium
485,Cooking,153,16,M,Community Center,85,High
486,Exercise,45,13,F,Friend's House,96,High
487,Video Games,164,16,F,Gym,67,Medium
488,Exercise,156,14,F,Park,82,High
489,Social Media,136,14,M,Community Center,39,Low
490,Video Games,78,16,F,Home,64,Medium
491,Exercise,122,13,M,Home,44,Low
492,Homework,45,13,M,Home,61,Medium
493,Exercise,170,13,M,Home,36,Low
494,Music,77,16,F,Park,63,Medium
495,Homework,132,16,F,Community Center,39,Low
496,Social Media,93,15,F,Home,66,Medium
497,Video Games,140,12,F,Library,75,Medium
498,Video Games,143,12,M,Friend's House,73,Medium
499,Music,144,14,M,Home,85,High
500,Sports,71,12,M,Library,31,Low
501,Social Media,168,16,M,Home,71,Medium
502,Social Media,86,13,F,Home,47,Low
503,Video Games,47,17,M,Friend's House,79,Medium
504,Social Media,156,17,M,Community Center,81,High
505,Homework,90,17,F,Park,81,High
506,Reading,119,14,F,Park,62,Medium
507,Social Media,158,17,F,Home,61,Medium
508,Video Games,128,13,M,Friend's House,94,High
509,Sports,171,15,M,Library,83,High
510,Social Media,89,15,M,Park,78,Medium
511,Social Media,41,14,M,Gym,68,Medium
512,Video Games,177,14,M,Community Center,71,Medium
513,Video Games,94,16,M,Community Center,89,High
514,Homework,149,15,M,Home,61,Medium
515,Music,118,14,F,Home,68,Medium
516,TV,52,12,M,Home,37,Low
517,Video Games,82,14,F,Community Center,97,High
518,TV,144,13,F,Friend's House,56,Medium
519,TV,98,14,F,Library,48,Low
520,Video Games,156,12,M,Home,94,High
521,Social Media,30,16,M,Friend's House,60,Medium
522,Reading,44,17,F,Home,93,High
523,Homework,174,17,F,Gym,70,Medium
524,Cooking,93,15,M,Gym,49,Low
525,Video Games,118,13,F,Home,33,Low
526,Music,277,14,F,Community Center,29,Medium
527,Exercise,94,15,M,Community Center,42,Low
528,Video Games,152,13,M,Home,64,Medium
529,Music,71,17,M,Gym,77,Medium
530,TV,175,14,F,Home,33,Low
531,TV,177,12,F,Library,97,High
532,Social Media,175,13,F,Home,71,Medium
533,Music,108,13,M,Community Center,83,High
534,Video Games,78,17,F,Community Center,80,High
535,Homework,168,14,F,Home,67,Medium
536,Cooking,51,17,F,Friend's House,49,Low
537,Cooking,41,17,F,Home,60,Medium
538,Exercise,41,13,F,Park,55,Medium
539,Exercise,152,14,M,Community Center,66,Medium
540,Homework,92,15,M,Friend's House,55,Medium
541,Homework,157,17,F,Home,73,Medium
542,Exercise,61,16,M,Library,40,Low
543,Exercise,143,14,M,Home,80,High
544,Exercise,124,12,M,Gym,72,Medium
545,Exercise,71,17,M,Friend's House,63,Medium
546,Homework,123,17,M,Library,31,Low
547,Exercise,139,13,M,Home,45,Low
548,Reading,37,17,M,Home,53,Medium
549,Reading,40,17,M,Community Center,47,Low
550,Music,180,15,F,Gym,53,Medium
551,TV,95,12,M,Home,83,High
552,TV,71,15,M,Home,91,High
553,Social Media,70,15,M,Home,51,Medium
554,TV,147,12,M,Home,90,High
555,Homework,141,14,M,Home,74,Medium
556,Video Games,105,12,M,Home,70,Medium
557,Social Media,118,14,M,Home,67,Medium
558,Reading,49,17,F,Friend's House,52,Medium
559,Reading,47,12,F,Park,60,Medium
560,Video Games,124,15,F,Library,81,High
561,Social Media,64,14,M,Park,63,Medium
562,Video Games,105,14,F,Home,63,Medium
563,Social Media,64,13,M,Community Center,97,High
564,Social Media,122,13,F,Friend's House,39,Low
565,Cooking,79,14,F,Friend's House,100,High
566,Music,61,14,M,Home,35,Low
567,Video Games,58,17,M,Home,72,Medium
568,TV,150,16,F,Friend's House,90,High
569,Social Media,180,17,M,Gym,70,Medium
570,Reading,126,16,F,Home,96,High
571,Exercise,110,17,F,Home,37,Low
572,Reading,165,14,M,Gym,71,Medium
573,Music,97,13,F,Friend's House,89,High
574,TV,72,17,M,Home,72,Medium
575,Sports,74,17,F,Park,78,Medium
576,Cooking,141,12,M,Library,85,High
577,Video Games,121,14,F,Library,49,Low
578,Exercise,265,17,F,Home,13,Medium
579,Music,66,12,F,Community Center,87,High
580,Video Games,214,17,M,Library,2,Medium
581,Homework,56,12,M,Home,75,Medium
582,Sports,64,13,M,Friend's House,99,High
583,Social Media,155,15,F,Home,60,Medium
584,Exercise,151,12,F,Friend's House,31,Low
585,Exercise,51,17,M,Home,83,High
586,Exercise,43,14,F,Friend's House,68,Medium
587,Sports,74,16,M,Park,68,Medium
588,Cooking,55,13,M,Friend's House,67,Medium
589,Exercise,145,15,M,Friend's House,55,Medium
590,Video Games,87,17,M,Community Center,72,Medium
591,Video Games,48,15,F,Home,93,High
592,Exercise,59,16,M,Park,75,Medium
593,Homework,121,17,F,Library,78,Medium
594,Social Media,115,14,F,Home,78,Medium
595,Reading,68,13,F,Community Center,58,Medium
596,Exercise,103,14,M,Library,67,Medium
597,Video Games,151,14,M,Friend's House,56,Medium
598,Homework,90,14,M,Friend's House,40,Low
599,Exercise,97,17,M,Home,90,High
600,Exercise,119,15,F,Community Center,59,Medium
